Symbol,Name,Sector
RCL,Royal Caribbean Cruises Ltd,consumer_discretionary
R,Ryder System,industrials
CRM,Salesforce.com,information_technology
SNDK,SanDisk Corporation,information_technology
SCG,SCANA Corp,utilities
SLB,Schlumberger Ltd.,energy
SNI,Scripps Networks Interactive Inc.,consumer_discretionary
STX,Seagate Technology,information_technology
SEE,Sealed Air Corp.(New),materials
SRE,Sempra Energy,utilities
SHW,Sherwin-Williams,materials
SIAL,Sigma-Aldrich,materials
SPG,Simon Property Group Inc,financials
SJM,Smucker (J.M.),consumer_staples
SNA,Snap-On Inc.,consumer_discretionary
SO,Southern Co.,utilities
LUV,Southwest Airlines,industrials
SWN,Southwestern Energy,energy
SE,Spectra Energy Corp.,energy
STJ,St Jude Medical,health_care
SWK,Stanley Black & Decker,consumer_discretionary
SPLS,Staples Inc.,consumer_discretionary
SBUX,Starbucks Corp.,consumer_discretionary
HOT,Starwood Hotels & Resorts,consumer_discretionary
STT,State Street Corp.,financials
SRCL,Stericycle Inc,industrials
SYK,Stryker Corp.,health_care
STI,SunTrust Banks,financials
SYMC,Symantec Corp.,information_technology
SYY,Sysco Corp.,consumer_staples
TROW,T. Rowe Price Group,financials
TGT,Target Corp.,consumer_discretionary
TEL,TE Connectivity Ltd.,information_technology
TE,TECO Energy,utilities
THC,Tenet Healthcare Corp.,health_care
TDC,Teradata Corp.,information_technology
TSO,Tesoro Petroleum Co.,energy
TXN,Texas Instruments,information_technology
TXT,Textron Inc.,industrials
HSY,The Hershey Company,consumer_staples
TRV,The Travelers Companies Inc.,financials
TMO,Thermo Fisher Scientific,health_care
TIF,Tiffany & Co.,consumer_discretionary
TWX,Time Warner Inc.,consumer_discretionary
TWC,Time Warner Cable Inc.,consumer_discretionary
TJX,TJX Companies Inc.,consumer_discretionary
TMK,Torchmark Corp.,financials
TSS,Total System Services,information_technology
TSCO,Tractor Supply Company,consumer_discretionary
RIG,Transocean,energy
TRIP,TripAdvisor,consumer_discretionary
FOXA,Twenty-First Century Fox,consumer_discretionary
TSN,Tyson Foods,consumer_staples
TYC,Tyco International,industrials
USB,U.S. Bancorp,financials
UA,Under Armour,consumer_discretionary
UNP,Union Pacific,industrials
UNH,United Health Group Inc.,health_care
UPS,United Parcel Service,industrials
MLM,Martin Marietta Materials,materials
URI,"United Rentals, Inc.",industrials
UTX,United Technologies,industrials
UHS,"Universal Health Services, Inc.",health_care
UNM,Unum Group,financials
URBN,Urban Outfitters,consumer_discretionary
VFC,V.F. Corp.,consumer_discretionary
VLO,Valero Energy,energy
VAR,Varian Medical Systems,health_care
VTR,Ventas Inc,financials
VRSN,Verisign Inc.,information_technology
VZ,Verizon Communications,telecommunications_services
VRTX,Vertex Pharmaceuticals Inc,health_care
VIAB,Viacom Inc.,consumer_discretionary
V,Visa Inc.,information_technology
VNO,Vornado Realty Trust,financials
VMC,Vulcan Materials,materials
WMT,Wal-Mart Stores,consumer_staples
WBA,Walgreens Boots Alliance,consumer_staples
DIS,The Walt Disney Company,consumer_discretionary
WM,Waste Management Inc.,industrials
WAT,Waters Corporation,health_care
ANTM,Anthem Inc.,health_care
WFC,Wells Fargo,financials
WDC,Western Digital,information_technology
WU,Western Union Co,information_technology
WY,Weyerhaeuser Corp.,financials
WHR,Whirlpool Corp.,consumer_discretionary
WFM,Whole Foods Market,consumer_staples
WMB,Williams Cos.,energy
WIN,Windstream Communications,telecommunications_services
WEC,Wisconsin Energy Corporation,utilities
WYN,Wyndham Worldwide,consumer_discretionary
WYNN,Wynn Resorts Ltd,consumer_discretionary
XEL,Xcel Energy Inc,utilities
XRX,Xerox Corp.,information_technology
XLNX,Xilinx Inc,information_technology
XL,XL Capital,financials
XYL,Xylem Inc.,industrials
YHOO,Yahoo Inc.,information_technology
YUM,Yum! Brands Inc,consumer_discretionary
ZMH,Zimmer Holdings,health_care
ZION,Zions Bancorp,financials
ZTS,Zoetis,health_care
